image_path,folder_name,class_index,organism,imaging_type,standardized_class_name,filename
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_12.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_12.png
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_13.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_13.png
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_11.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_11.png
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_10.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_10.png
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_28.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_28.png
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_16.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_16.png
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_6.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_6.png
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_44.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_44.png
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_5.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_5.png
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_46.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_46.png
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_4.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_4.png
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_1.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_1.png
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_3.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_3.png
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_41.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_41.png
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_2.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_2.png
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_33.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_33.png
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_27.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_27.png
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_32.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_32.png
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_24.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_24.png
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_30.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_30.png
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_18.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_18.png
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_19.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_19.png
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_31.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_31.png
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_25.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_25.png
Bacteria dataset/Aspergillus niger_gram stain/Aspergillus niger_gram stain_35.png,Aspergillus niger_gram stain,0,Aspergillus niger,gram stain,Aspergillus niger_gram stain,Aspergillus niger_gram stain_35.png
